binatang liar              wild animal
bingung                    confused
bintang                    star
bir                        beer
biru                       blue
biru muda                  light blue
bisa                       can, be able, could
bisnis                     business
bodoh                      stupid, foolish, dull
bohong                     lie; make up a story
bola                       ball
bola golf                  golf ball
bola keranjang             basketball
bola sepak                 football
bola tangkis               badminton
boleh                      can
bolehkah                   can; may
bom                        bomb
boneka                     puppet
bos                        boss
bosan                      bored
buah                       fruit
buah durian                durian
buah limau                 orange
buah manggis               mangosteen
buah pinang                areca nut, betel nut
buah pisang                banana
buah-buahan                fruit
buang                      throw away
buat                       do, make
bubuh                      to put, place, to set
budak                      young girl or boy
buka                       to open
bukan                      no, not
bukit                      hill
bukti                      evidence; proof
buku                       book
bulan                      month; moon
bulu                       body hair, fur, feather, bristle
bumbung                    roof of a house
bumi                       Earth
bung                       fella; buddy
bunga                      flower
bunuh                      murder; kill
bunyi                      sound
buru                       Rush
buruk                      bad; ugly
burung                     bird
burung gagak               crow
burung hantu               owl
burung merpati             pigeon
burung nasar               vulture
burung nuri                parrot
burung pipit               sparrow
but                        boots
buta                       blind
butir                      classifier for fruits, coconuts, gems and eggs
cabai                      chilli, capsicum
cahaya                     light
cakap                      speak; talk
camca                      spoon
can                        cans
cantik                     lovely, sweet, beautiful
cara                       how, way, manner
cari                       to search, to seek, to find
catatan                    note
cawan                      cup
celana                     pants
cencada                    mantis
cepat                      quick, fast
cepatlah                   Make it snappy
cerdas                     intelligent
cerek                      kettle, tea-pot
cerita                     story
ceritakan                  tell a story
cermin                     mirror; to reflect
cicak                      lizard
cik                        title prefixed to an unmarried woman's name, miss
cina                       China
cincin                     ring
cinta                      to love
ciuman                     kiss
cobalah                    try
cocok                      fitting; suitable; appropriate
coklat                     brown
contoh                     example
cuba                       to try, make an attempt
cuci                       to wash, make clean with water or other liquid
cuci kain                  to wash the clothing, to do the wash
cuci pinggan               to wash the dishes, to do the washing up
cuka                       vinegar
cukai                      tax
cukup                      enough, sufficient, full
cukur                      to shave (transitive)
cuma                       merely; only
dada                       the chest
daerah                     district; region
daftar                     register; a list
daging                     meat, flesh
daging babi                pork
daging kambing             mutton
daging lembu               beef
dahulu                     before, in the past, formerly
dakwat                     ink
dalam                      in, inside, deep, profound
damai                      peace
dan                        and
dan lagi                   also, in addition
dan sebagainya             and things like that, etcetera
danau                      lake
dapat                      to be able
dapur                      kitchen, oven, stove
darah                      blood
dari                       from
dari mana                  where ... from, from where
dari sana                  (from) there
darimana                   from which
darimu                     from you
daripada                   from
darurat                    emergency
dasar                      basis
datang                     come, arrive
daun                       leaf
daun teh                   tea (dry leaves)
daya                       power
dekat                      close; near
delapan                    eight
demam                      fever
demi                       by; for
demikian                   so; hence; therefor
denda                      a fine, penalty
dendam                     revenge; grudge
dengan                     with, by means of
denganku                   with me
dengar                     to hear
depan                      front, future, coming
desa                       village
detektif                   detective
detik                      period (end of a sentence)
dewan                      council
dewasa                     adult; grown-up
dgn                        with
di                         in, at, on
di luar                    outside
di mana                    where
di sana                    there
dia                        he, she, it
dia sendiri                he himself, she herself
diam                       live (stay in a place)
diantara                   between
dibawa                     be carried
dibawah                    below
dibuat                     be made of
digunakan                  be used
dikenal                    be known
diketahui                  unknown
